ID Estensimetro,F applicata (kgf),Allungamento,Ritorno
19,0.8,0,0.5
19,1.2,9,8.5
19,1.6,19,18
19,2,29,28
19,2.4,38,37
19,2.8,47.5,47
19,3.2,57,55.5
19,3.6,66,65.5
19,4,75.5,76
19,4.4,85,85
18,0.8,0,0
18,1.2,14,13
18,1.6,28,26
18,2,40.3,39
18,2.4,52,52
18,2.8,65.5,64
18,3.2,79.5,78
18,3.6,92,93
18,4,105,104.5
18,4.4,118,118
6,0.8,0,0.6
6,1.2,25,25.5
6,1.6,50,51
6,2,75,75.3
6,2.4,101,102
6,2.8,126,127
6,3.2,151,151.6
6,3,6,176,176,6
6,4,201,202
6,4,4,226,226
16,0,8,0,0,5
16,1,2,20,3,20
16,1,6,39,38
16,2,57,56,5
16,2,4,76,75,5
16,2,8,94,5,94,5
16,3,2,113,113
16,3,6,131,131,5
16,4,150,149,5
16,4,4,168,5,168,5
1,0,8,0.5,0
1,1,2,22.5,22
1,1.6,43.5,42
1,2,65,63.5
1,2.4,86,84.6
1,2.8,106,105
1,3.2,27.5,125.5
1,3.6,148,146
1,4,169,168.3
1,4.4,89,89
5,0.8,0,0.5
5,1.2,31,31.6
5,1.6,59,60
5,2,88.5,88
5,2.4,117,117.5
5,2.8,147,147
5,3.2,175.5,177
5,3.6,204,205
5,4,233.6,235
5,4.4,264,264
11,0.8,0,0
11,1.2,13,13
11,1.6,26,25.5
11,2,38,38
11,2.4,50.5,50
11,2.8,62,62
11,3.2,75,75
11,3.6,86,86
11,4,104,99
11,4.4,111.5,111.5
17,0.8,0,-0.5
17,1.2,16.5,15
17,1.6,31.3,30.3
17,2,47,45
17,2.4,67,61
17,2.8,77.5,76
17,3.2,92.6,92
17,3.6,103,102
17,4,123.6,124
17,4.4,144,144
10,0.8,0,0
10,1.2,15,13.5
10,1.6,28,28
10,2,42,42
10,2.4,56,55
10,2.8,70,70
10,3.2,85,88
10,3.6,99,98.5
10,4,111,111
10,4.4,125,125
15,0.8,0,-2
15,1.2,22,20.5
15,1.6,44,42.5
15,2,66,64
15,2.4,87,85
15,2.8,109,107.5
15,3.2,131,129
15,3.6,151.5,150
15,4,178.5,172
15,4.4,195,195
9,0.8,0,0
9,1.2,17,17
9,1.6,33,5,34
9,2,51,51
9,2.4,73,68
9,2.8,84,84
9,3.2,100,100
9,3.6,115,5,116
9,4,136,132,5
9,4.4,148,5,148,5
3,0.8,,
3,1.2,,
3,1.6,,
3,2,,
3,2.4,,
3,2.8,,
3,3.2,,
3,3.6,,
3,4,,
3,4.4,,
